iter	Passed	Remaining
893	3730	442
894	3734	438
895	3738	433
896	3742	429
897	3746	425
898	3750	421
899	3754	417
900	3758	413
901	3762	408
902	3766	404
903	3770	400
904	3774	396
905	3778	391
906	3782	387
907	3786	383
908	3790	379
909	3795	375
910	3799	371
911	3803	366
912	3807	362
913	3811	358
914	3815	354
915	3819	350
916	3823	346
917	3827	341
918	3831	337
919	3835	333
920	3839	329
921	3842	325
922	3846	320
923	3850	316
924	3854	312
925	3858	308
926	3862	304
927	3866	299
928	3869	295
929	3873	291
930	3877	287
931	3881	283
932	3885	279
933	3889	274
934	3893	270
935	3897	266
936	3901	262
937	3905	258
938	3909	253
939	3913	249
940	3917	245
941	3920	241
942	3924	237
943	3928	233
944	3933	228
945	3937	224
946	3941	220
947	3945	216
948	3949	212
949	3953	208
950	3957	203
951	3961	199
952	3965	195
953	3969	191
954	3973	187
955	3976	183
956	3980	178
957	3984	174
958	3988	170
959	3992	166
960	3997	162
961	4001	158
962	4005	153
963	4009	149
964	4014	145
965	4017	141
966	4021	137
967	4025	133
968	4029	128
969	4033	124
970	4037	120
971	4041	116
972	4045	112
973	4049	108
974	4053	103
975	4057	99
976	4061	95
977	4064	91
978	4068	87
979	4072	83
980	4076	78
981	4080	74
982	4084	70
983	4088	66
984	4092	62
985	4096	58
986	4099	54
987	4103	49
988	4107	45
989	4111	41
990	4115	37
991	4119	33
992	4123	29
993	4127	24
994	4131	20
995	4135	16
996	4139	12
997	4143	8
998	4147	4
999	4151	0
